,tissue,tissue_confi
ERR532593,PROSTATE,1.0
SRR1201778,BRAIN,0.35980144
SRR897245,BRAIN,1.0
SRR1046814,LUNG,0.6658135
SRR1201871,BRAIN,0.44747505
SRR897638,BRAIN,1.0
SRR542364,BREAST,1.0
SRR1201831,KIDNEY,0.99357474
SRR1203009,LIVER,0.9999868
ERR833236,OTHER,1.0
SRR926660,OTHER,0.9649161
SRR1216056,BRAIN,1.0
SRR897474,LIVER,0.6586063
ERR649047,ESOPHAGUS,0.99993813
SRR1190466,BRAIN,0.8061495
SRR948092,BONE MARROW,0.99971277
SRR834576,LIVER,1.0
SRR897339,BRAIN,1.0
SRR926685,LIVER,1.0
SRR650230,KIDNEY,0.70292175
ERR661162,BONE MARROW,0.9999994
SRR1203827,BRAIN,0.84419286
SRR897715,BRAIN,1.0
SRR896828,BRAIN,1.0
SRR896937,BRAIN,1.0
SRR959737,BONE MARROW,0.58604884
SRR896844,BRAIN,1.0
SRR1201820,LUNG,0.2966824
SRR898492,BRAIN,1.0
SRR1017523,SKIN,0.1329799
SRR1190502,BRAIN,0.8639592
SRR897266,BRAIN,1.0
ERR833255,OTHER,1.0
SRR898280,BRAIN,0.5432472
SRR897813,LIVER,0.5866186
SRR542399,OTHER,1.0
ERR033746,BRAIN,1.0
SRR1191694,BRAIN,0.6365485
ERR532558,PROSTATE,1.0
SRR897336,BRAIN,1.0
DRR029101,ESOPHAGUS,0.975356
SRR959592,BRAIN,0.99830675
SRR897338,BRAIN,1.0
SRR959708,BONE MARROW,0.47946414
SRR897979,BRAIN,1.0
SRR897095,BRAIN,0.7469553
SRR898374,BRAIN,1.0
SRR896738,LIVER,0.64337647
SRR1192017,BRAIN,0.7523533
ERR661163,BONE MARROW,0.9999994
SRR897278,BRAIN,1.0
SRR1201694,LUNG,0.29908067
SRR546239,OTHER,0.9989789
SRR317090,OTHER,1.0
SRR633574,BREAST,0.93598634
SRR1201688,LUNG,0.3341509
SRR896675,LIVER,0.74510324
SRR896732,LIVER,0.620937
SRR1201682,LUNG,0.27983728
SRR1203829,BRAIN,0.6662711
ERR532609,PROSTATE,1.0
SRR650140,OTHER,0.68180794
SRR542363,BREAST,0.99985015
SRR897802,LIVER,0.6376006
ERR832537,OTHER,1.0
SRR1721313,STOMACH,0.99865913
SRR1216094,BRAIN,1.0
SRR2925164,KIDNEY,0.41688615
SRR1575099,OTHER,1.0
SRR897255,BRAIN,1.0
ERR532585,PROSTATE,1.0
SRR898428,BRAIN,1.0
SRR1201866,BRAIN,0.36250633
SRR897213,BRAIN,1.0
SRR897975,BRAIN,1.0
SRR897257,BRAIN,1.0
SRR896951,BRAIN,1.0
SRR633598,BREAST,0.94693756
SRR898003,BRAIN,1.0
SRR898201,BRAIN,1.0
SRR959644,BRAIN,0.9996778
SRR897322,BRAIN,1.0
SRR1191695,BRAIN,0.6370503
SRR897931,BRAIN,1.0
SRR014494,BRAIN,1.0
SRR897654,BRAIN,1.0
SRR959648,BRAIN,0.9997746
SRR897595,BRAIN,1.0
SRR959668,BONE MARROW,0.6158407
SRR897960,BRAIN,1.0
SRR1693631,OTHER,1.0
SRR424572,LUNG,0.8549444
SRR898037,BRAIN,1.0
SRR1201717,LUNG,0.39039928
SRR896858,BRAIN,1.0
SRR897106,BRAIN,0.69491917
SRR897217,BRAIN,1.0
SRR898241,LIVER,0.60094374
SRR1193011,BRAIN,0.88029224
SRR633602,BREAST,0.6603988
SRR1203811,BRAIN,0.9514038
SRR898273,BRAIN,0.49738425
SRR1216017,LIVER,0.6958927
SRR649547,BRAIN,0.99141437
SRR898408,BRAIN,1.0
SRR896939,BRAIN,1.0
SRR959639,BRAIN,0.9997403
SRR1213702,OTHER,1.0
SRR834577,LIVER,1.0
SRR2166626,SKIN,0.5463768
SRR650191,PROSTATE,0.5932751
SRR419544,ESOPHAGUS,0.94761866
SRR1193008,BRAIN,0.85217285
SRR948110,BONE MARROW,0.858183
ERR519500,ESOPHAGUS,0.9999398
SRR1027756,OTHER,0.57567656
SRR1216008,LIVER,0.7658602
SRR896830,BRAIN,1.0
SRR1190507,BRAIN,0.90077686
SRR897100,BRAIN,0.66384983
SRR897117,LIVER,0.6055565
SRR898209,BRAIN,1.0
SRR2166628,OTHER,0.79926836
SRR897200,BRAIN,1.0
SRR898405,BRAIN,1.0
SRR1698142,SKIN,1.0
SRR1193006,BRAIN,0.8401104
ERR975349,BONE MARROW,0.83126676
SRR387430,BONE MARROW,0.99372655
SRR633572,BREAST,0.9536331
SRR1201692,LUNG,0.25782675
SRR1203010,BRAIN,0.9703208
ERR833226,OTHER,1.0
SRR650141,PROSTATE,0.61518645
SRR317091,OTHER,1.0
SRR896833,BRAIN,1.0
SRR898207,BRAIN,1.0
SRR1201707,LUNG,0.37858105
SRR650201,KIDNEY,0.75089353
SRR542361,BREAST,0.9999372
DRR014033,BONE MARROW,0.9984158
SRR1216097,BRAIN,1.0
SRR897807,LIVER,0.6010438
SRR898120,LIVER,0.6681554
SRR948113,BONE MARROW,0.99998796
SRR1721312,STOMACH,1.0
SRR922456,OTHER,1.0
SRR2925158,BONE MARROW,0.36474502
SRR424335,ESOPHAGUS,0.9496894
SRR898494,BRAIN,1.0
SRR1216115,BRAIN,1.0
SRR897816,LIVER,0.5923953
SRR609426,BRAIN,1.0
SRR898113,LIVER,0.66168195
SRR896926,BRAIN,1.0
SRR1191347,BRAIN,0.9711813
ERR833253,OTHER,1.0
SRR897688,BRAIN,1.0
SRR898302,LIVER,0.66017026
SRR897424,LIVER,0.5454084
SRR896690,LIVER,0.7256057
SRR542370,BREAST,1.0
SRR898248,LIVER,0.5447191
SRR1213724,OTHER,1.0
SRR897237,BRAIN,1.0
ERR532446,PROSTATE,1.0
SRR897282,BRAIN,1.0
SRR898043,BRAIN,1.0
SRR834569,LIVER,1.0
ERR833250,OTHER,1.0
SRR897107,LIVER,0.5276152
ERR519490,OTHER,0.6979376
SRR650153,OTHER,0.49080706
SRR897298,BRAIN,1.0
SRR546234,STOMACH,0.995211
SRR896944,BRAIN,1.0
SRR1203807,BRAIN,0.78989685
SRR897812,LIVER,0.66971374
SRR897949,BRAIN,1.0
ERR661165,BONE MARROW,0.9999995
SRR1190505,BRAIN,0.8654102
SRR897239,BRAIN,1.0
SRR834564,LIVER,1.0
SRR898112,LIVER,0.6572362
SRR896835,BRAIN,1.0
SRR897459,LIVER,0.6708424
SRR898192,BRAIN,1.0
SRR1216002,LIVER,0.76765454
SRR897826,LIVER,0.5769536
SRR898122,LIVER,0.6469029
ERR832549,OTHER,1.0
SRR897421,LIVER,0.49408847
SRR1712908,LUNG,0.29915953
SRR898384,BRAIN,1.0
SRR898274,BRAIN,0.58966935
SRR948100,BONE MARROW,1.0
SRR896843,BRAIN,1.0
ERR502852,BONE MARROW,0.99999297
SRR898041,BRAIN,1.0
SRR897310,BRAIN,1.0
SRR897072,BRAIN,0.55145097
SRR898223,BRAIN,1.0
SRR898009,BRAIN,1.0
SRR1201792,BONE MARROW,0.26152056
SRR1201773,LUNG,0.26964992
ERR833247,OTHER,1.0
SRR959649,BONE MARROW,0.47784024
SRR959642,BRAIN,0.9997444
ERR519485,ESOPHAGUS,1.0
ERR833246,OTHER,1.0
SRR898272,BRAIN,0.6304667
SRR897069,BRAIN,0.69535655
ERR519476,ESOPHAGUS,0.91968644
SRR837860,SKIN,0.78987277
SRR959693,BONE MARROW,0.4102109
SRR387426,BONE MARROW,0.9996921
SRR633567,BREAST,0.6116436
ERR532549,PROSTATE,1.0
SRR546229,OTHER,0.88904417
SRR825141,OTHER,0.641281
SRR1216107,BRAIN,1.0
SRR897426,LIVER,0.5859788
SRR897345,BRAIN,1.0
SRR897825,LIVER,0.49027976
SRR896940,BRAIN,1.0
SRR897049,BRAIN,0.74177414
SRR896705,LIVER,0.7419502
SRR897067,BRAIN,0.5146601
SRR1201706,LUNG,0.33867034
SRR897572,BRAIN,1.0
ERR649068,SKIN,0.9999832
SRR542388,BREAST,1.0
SRR650178,KIDNEY,0.77534163
SRR897116,LIVER,0.5379838
SRR896849,BRAIN,1.0
SRR897056,BRAIN,0.7497077
SRR1657550,ESOPHAGUS,1.0
SRR628219,OTHER,0.9999962
SRR959731,BONE MARROW,0.40641794
SRR897582,BRAIN,1.0
SRR801428,STOMACH,1.0
SRR959637,BRAIN,0.9973919
SRR020495,LUNG,0.99644935
SRR1760945,BRAIN,0.9999188
SRR834571,LIVER,1.0
SRR897417,LIVER,0.5984693
SRR650176,PROSTATE,0.5134615
SRR896883,BRAIN,1.0
SRR1156257,BREAST,0.9667139
SRR897440,LIVER,0.51420707
SRR628223,KIDNEY,1.0
SRR896686,LIVER,0.7354741
SRR898247,LIVER,0.5847965
SRR898255,LIVER,0.5065089
SRR1192839,BRAIN,0.76328194
SRR896713,LIVER,0.7066509
SRR959598,BRAIN,0.9975297
ERR661158,BONE MARROW,0.9999994
SRR896855,BRAIN,1.0
ERR833230,OTHER,1.0
SRR1216053,BRAIN,1.0
SRR898137,LIVER,0.6875585
SRR897485,LIVER,0.69294417
ERR532447,PROSTATE,1.0
SRR897094,BRAIN,0.66212374
SRR922463,OTHER,1.0
SRR896739,LIVER,0.6927002
SRR546236,STOMACH,0.99987113
SRR959617,BRAIN,0.99981654
SRR1216000,LIVER,0.7445028
SRR898430,BRAIN,1.0
SRR423960,LUNG,0.7917657
SRR898435,BRAIN,1.0
SRR628220,OTHER,1.0
SRR1195621,BRAIN,0.9387892
SRR897410,LIVER,0.50749487
SRR1265554,LUNG,1.0
ERR208920,OTHER,0.9972812
SRR897438,LIVER,0.5963406
SRR898206,BRAIN,1.0
ERR210965,BRAIN,0.99999
SRR1213698,OTHER,1.0
SRR546231,OTHER,0.63057137
SRR896962,BRAIN,1.0
SRR897679,BRAIN,1.0
SRR1721285,OTHER,1.0
SRR959610,BRAIN,0.9988042
ERR519493,ESOPHAGUS,0.9634304
SRR897480,LIVER,0.64379865
SRR1657553,ESOPHAGUS,1.0
SRR897845,LIVER,0.57981926
SRR1216095,BRAIN,1.0
ERR532592,PROSTATE,1.0
SRR896920,BRAIN,1.0
ERR833233,OTHER,1.0
SRR650195,ESOPHAGUS,0.9999735
SRR1721290,OTHER,1.0
SRR317089,OTHER,1.0
SRR633594,BREAST,0.6812876
SRR826663,PANCREAS,0.99610347
SRR896685,LIVER,0.73611796
SRR832891,OTHER,1.0
SRR898032,BRAIN,1.0
SRR1191783,BRAIN,0.6402274
SRR542397,BREAST,1.0
SRR897415,LIVER,0.65433055
SRR898445,BRAIN,1.0
SRR873420,BRAIN,0.99990654
DRR014035,BONE MARROW,0.95969474
SRR542346,BREAST,0.9995365
SRR897821,LIVER,0.603125
SRR924529,OTHER,1.0
SRR1193012,BRAIN,0.8859664
ERR532606,PROSTATE,1.0
SRR898452,BRAIN,1.0
SRR1191876,BRAIN,0.6860374
SRR897435,LIVER,0.62933755
SRR897820,LIVER,0.6410429
SRR896896,BRAIN,1.0
SRR645376,LUNG,0.8171986
SRR959626,BRAIN,0.6682235
DRR014028,OTHER,0.8318435
SRR650217,OTHER,0.9999994
SRR1201731,LUNG,0.31009153
SRR2166625,OTHER,0.99999225
SRR897849,LIVER,0.55553514
SRR299114,BRAIN,0.8431074
SRR898188,BRAIN,1.0
ERR922710,PROSTATE,1.0
SRR387407,BONE MARROW,0.99890834
SRR959679,BONE MARROW,0.4246231
SRR897446,LIVER,0.64960366
SRR959638,BRAIN,0.9969953
SRR897317,BRAIN,1.0
SRR834563,LIVER,1.0
SRR897483,LIVER,0.6920892
SRR545719,BRAIN,0.756062
SRR898456,BRAIN,1.0
SRR633577,BREAST,0.74446434
SRR492042,BREAST,0.98931855
SRR896918,BRAIN,1.0
SRR897851,LIVER,0.5477954
SRR1721292,STOMACH,0.7630413
SRR074310,SKIN,0.72705996
ERR833228,OTHER,1.0
SRR1192966,BRAIN,0.965158
SRR898195,BRAIN,1.0
SRR650179,PROSTATE,0.72899646
SRR898426,BRAIN,1.0
SRR897803,LIVER,0.6809413
ERR832546,OTHER,1.0
SRR898233,BRAIN,1.0
SRR1156274,BREAST,0.9676409
ERR033744,BRAIN,1.0
SRR897697,BRAIN,1.0
SRR959635,BRAIN,0.99656266
SRR1201700,BRAIN,0.4193409
SRR1216052,BRAIN,1.0
ERR922711,PROSTATE,0.999407
SRR1721305,LUNG,1.0
SRR542349,BREAST,0.9579073
ERR863548,LIVER,1.0
ERR731518,LUNG,0.9999978
ERR532586,PROSTATE,1.0
SRR898029,BRAIN,1.0
SRR898487,BRAIN,1.0
SRR970143,OTHER,1.0
SRR611846,LUNG,0.45312643
SRR990361,LIVER,0.81592464
SRR896852,BRAIN,1.0
SRR898415,BRAIN,1.0
SRR897606,BRAIN,1.0
SRR897717,BRAIN,1.0
SRR1216111,BRAIN,0.9999999
SRR926692,LIVER,1.0
SRR897643,BRAIN,1.0
SRR897575,BRAIN,1.0
SRR1201678,LUNG,0.28983268
SRR897120,LIVER,0.63481575
SRR896917,BRAIN,1.0
SRR542403,BREAST,1.0
ERR832543,OTHER,1.0
SRR897834,LIVER,0.6052012
SRR898482,BRAIN,1.0
SRR897658,BRAIN,1.0
SRR633591,BREAST,0.6912231
SRR897705,BRAIN,1.0
SRR1191342,BRAIN,0.97956026
SRR898395,BRAIN,1.0
SRR896741,LIVER,0.6100093
SRR896911,BRAIN,1.0
SRR898017,BRAIN,1.0
SRR897966,BRAIN,1.0
SRR922461,OTHER,1.0
SRR650145,PROSTATE,0.546095
ERR210954,BRAIN,0.999846
SRR546225,OTHER,0.37104505
SRR959600,BRAIN,0.9974419
SRR801424,STOMACH,0.8016232
ERR532580,PROSTATE,1.0
ERR649046,ESOPHAGUS,1.0
SRR897269,BRAIN,1.0
ERR649058,ESOPHAGUS,1.0
SRR897408,BRAIN,0.5625323
SRR896874,BRAIN,1.0
ERR519503,ESOPHAGUS,0.9640627
SRR898131,LIVER,0.64101094
SRR924532,OTHER,1.0
SRR897925,BRAIN,1.0
SRR959595,BRAIN,0.99862593
SRR542377,BREAST,0.65084827
SRR834568,LIVER,1.0
SRR896846,BRAIN,1.0
SRR898480,BRAIN,1.0
SRR948093,BONE MARROW,0.7509221
SRR896922,BRAIN,1.0
SRR898140,LIVER,0.71206284
SRR898228,BRAIN,1.0
SRR1027760,UTERUS,0.10636916
SRR1203814,BRAIN,0.9245781
SRR542390,BREAST,1.0
SRR1216003,LIVER,0.7777144
SRR898458,BRAIN,1.0
SRR611843,OVARY,0.44730335
SRR897088,BRAIN,0.6737982
SRR897578,BRAIN,1.0
SRR1213699,OTHER,1.0
SRR896737,LIVER,0.6579417
SRR898291,LIVER,0.59365463
SRR1201818,LUNG,0.3033803
SRR1193005,BRAIN,0.8383349
ERR731482,LUNG,0.9999982
ERR649062,ESOPHAGUS,0.99974376
SRR897795,LIVER,0.61204225
SRR898035,BRAIN,1.0
SRR897818,LIVER,0.55163324
SRR897251,BRAIN,1.0
ERR532444,PROSTATE,1.0
SRR898230,BRAIN,1.0
SRR650159,KIDNEY,0.33369383
SRR896728,LIVER,0.6488571
SRR896908,BRAIN,1.0
ERR649074,SKIN,0.8591415
SRR611844,OVARY,0.38250387
SRR633606,OTHER,0.7643448
SRR1721309,STOMACH,1.0
SRR633603,OTHER,0.9980835
SRR1201813,BRAIN,0.42851406
SRR898242,LIVER,0.5383017
SRR1203800,OTHER,0.9548027
SRR1203027,OTHER,0.9829289
SRR1693632,OTHER,1.0
SRR896982,BRAIN,1.0
SRR1190366,BRAIN,0.9645872
SRR959650,OTHER,0.4259569
SRR1201797,BONE MARROW,0.26918858
SRR542391,BREAST,1.0
SRR897684,BRAIN,1.0
SRR898413,BRAIN,1.0
SRR1203830,BRAIN,0.80390817
SRR898125,LIVER,0.6948214
ERR661166,BONE MARROW,0.9999997
SRR1017528,SKIN,0.10226731
SRR1017530,UTERUS,0.12540288
SRR959596,BRAIN,0.9983266
SRR897946,BRAIN,1.0
SRR898396,BRAIN,1.0
SRR898474,BRAIN,1.0
SRR825143,STOMACH,1.0
SRR896950,BRAIN,1.0
ERR792543,PANCREAS,0.7864742
SRR898111,LIVER,0.64405686
SRR896860,BRAIN,1.0
SRR896742,LIVER,0.69604415
SRR898119,LIVER,0.67932695
SRR896921,BRAIN,1.0
SRR014497,BRAIN,1.0
SRR542356,BREAST,0.9999998
SRR542367,BREAST,1.0
SRR898005,BRAIN,1.0
SRR896936,BRAIN,1.0
SRR898205,BRAIN,1.0
ERR649067,SKIN,0.8292669
ERR649069,ESOPHAGUS,0.9977888
SRR611842,LUNG,0.3236492
SRR1213848,OTHER,1.0
SRR1201861,BRAIN,0.32732022
ERR532437,PROSTATE,1.0
SRR627777,OTHER,0.64832014
SRR1721303,LUNG,1.0
SRR1201793,BONE MARROW,0.29942983
SRR1193101,BRAIN,0.9036125
SRR1216011,LIVER,0.7749132
SRR1216023,LIVER,0.77807343
SRR897063,BRAIN,0.6642571
ERR532435,PROSTATE,1.0
SRR898034,BRAIN,1.0
SRR650137,KIDNEY,0.5569291
SRR897060,BRAIN,0.5115269
SRR959623,BRAIN,0.9971673
ERR532569,PROSTATE,1.0
SRR650186,OTHER,0.9998971
ERR649028,ESOPHAGUS,0.9999997
SRR387434,BONE MARROW,0.99816245
SRR1202006,LUNG,0.27702504
SRR897329,BRAIN,1.0
ERR519471,ESOPHAGUS,1.0
SRR897198,BRAIN,1.0
SRR898375,BRAIN,1.0
SRR898227,BRAIN,1.0
SRR959673,BONE MARROW,0.45026907
SRR898215,BRAIN,1.0
SRR898477,BRAIN,1.0
SRR542369,BREAST,1.0
SRR898427,BRAIN,1.0
SRR898441,BRAIN,1.0
ERR731496,LUNG,0.52289134
SRR1201673,LUNG,0.308145
SRR315309,BONE MARROW,0.99781454
SRR897594,BRAIN,1.0
ERR649064,SKIN,0.8850196
SRR801427,STOMACH,1.0
ERR792544,BRAIN,0.6746167
SRR1216054,BRAIN,1.0
SRR897280,BRAIN,1.0
SRR316214,LIVER,1.0
SRR897693,BRAIN,1.0
SRR896878,BRAIN,1.0
ERR519470,ESOPHAGUS,1.0
ERR532604,PROSTATE,1.0
SRR1216117,BRAIN,1.0
SRR650132,OTHER,0.42497748
SRR959619,BRAIN,0.9998363
SRR1201860,BRAIN,0.37433144
SRR633607,BREAST,0.90703183
SRR1191953,BRAIN,0.90748596
SRR091691,BONE MARROW,0.9999998
SRR1721306,LUNG,1.0
SRR897057,BRAIN,0.54359597
SRR896949,BRAIN,1.0
SRR897433,LIVER,0.60438824
SRR1216114,BRAIN,0.9999999
SRR1201766,LUNG,0.29726654
SRR1216098,BRAIN,1.0
SRR1216123,BRAIN,1.0
SRR959686,BONE MARROW,0.34748265
SRR020723,LUNG,0.9964873
SRR825137,STOMACH,0.9997904
SRR897318,BRAIN,1.0
SRR948116,BONE MARROW,0.99999964
SRR650160,OTHER,0.70768917
SRR1216063,BRAIN,1.0
SRR897592,BRAIN,1.0
SRR611069,BRAIN,1.0
SRR1721296,OTHER,1.0
ERR532602,PROSTATE,1.0
SRR897079,BRAIN,0.56032
SRR387429,BONE MARROW,0.99932706
ERR030865,OTHER,0.93583167
SRR897455,LIVER,0.67212063
SRR959660,BONE MARROW,0.48281303
SRR801429,STOMACH,0.9999979
SRR1201667,LUNG,0.3067774
SRR897618,BRAIN,1.0
SRR1202978,OTHER,0.68292105
SRR897078,BRAIN,0.5875578
SRR1216001,LIVER,0.7774067
SRR1190460,BRAIN,0.8057047
SRR393010,LUNG,1.0
SRR1216012,LIVER,0.7095202
SRR1202651,BRAIN,0.32756096
ERR532589,PROSTATE,1.0
SRR897091,BRAIN,0.59943527
SRR897274,BRAIN,1.0
SRR898007,BRAIN,1.0
SRR897252,BRAIN,1.0
SRR959622,BRAIN,0.9987466
SRR896978,BRAIN,1.0
ERR922712,PROSTATE,0.99999446
SRR897711,BRAIN,1.0
SRR896839,BRAIN,1.0
SRR897611,BRAIN,1.0
SRR898224,BRAIN,1.0
SRR1215997,LIVER,0.7855326
SRR897267,BRAIN,1.0
SRR1213729,OTHER,1.0
SRR896703,LIVER,0.74857986
ERR532559,PROSTATE,1.0
SRR897441,LIVER,0.59757876
SRR834567,LIVER,1.0
SRR897850,LIVER,0.5610361
DRR014030,BRAIN,0.58953387
SRR898469,BRAIN,1.0
SRR1216126,BRAIN,0.99999696
SRR898136,LIVER,0.65274525
SRR834561,LIVER,1.0
SRR898370,BRAIN,1.0
SRR959605,BRAIN,0.99945414
SRR897988,BRAIN,1.0
SRR959707,BONE MARROW,0.5292641
SRR897334,BRAIN,1.0
SRR1017529,SKIN,0.10350217
SRR896710,LIVER,0.7233115
SRR897945,BRAIN,1.0
SRR896895,BRAIN,1.0
SRR897297,BRAIN,1.0
SRR546585,KIDNEY,1.0
SRR897958,BRAIN,1.0
SRR897671,BRAIN,1.0
SRR1216060,BRAIN,1.0
SRR896722,LIVER,0.66994655
SRR897460,LIVER,0.557999
SRR898238,BRAIN,1.0
SRR1721280,ADRENAL GLAND,1.0
SRR1216077,BRAIN,1.0
SRR898036,BRAIN,1.0
ERR661164,BONE MARROW,0.9999944
SRR801432,STOMACH,0.71674514
SRR1201808,BRAIN,0.2764096
SRR420191,LUNG,0.8916485
SRR897627,BRAIN,1.0
SRR1216118,BRAIN,1.0
SRR1190504,BRAIN,0.88676023
SRR1760948,BRAIN,1.0
SRR546233,STOMACH,1.0
SRR897598,BRAIN,1.0
SRR897842,LIVER,0.6186336
SRR1039806,OTHER,1.0
SRR542393,BREAST,1.0
SRR924528,OTHER,1.0
SRR650218,OTHER,0.6857166
ERR832557,OTHER,1.0
SRR897809,LIVER,0.5196266
ERR033743,BRAIN,1.0
SRR896681,LIVER,0.72393084
SRR896869,BRAIN,1.0
SRR897236,BRAIN,1.0
SRR897940,BRAIN,1.0
SRR346465,LIVER,0.5570124
SRR898460,BRAIN,1.0
SRR1201666,LUNG,0.27883425
SRR896964,BRAIN,1.0
SRR898239,LIVER,0.5956375
SRR1216104,BRAIN,1.0
SRR633585,BREAST,0.9761745
SRR1721295,OTHER,0.99999654
SRR897723,BRAIN,1.0
SRR897241,BRAIN,1.0
SRR387405,BONE MARROW,0.9996602
SRR633608,UTERUS,0.99999934
SRR897621,BRAIN,1.0
SRR897808,LIVER,0.62127286
SRR546237,STOMACH,0.99999934
SRR1721308,STOMACH,0.99896955
SRR1201799,BONE MARROW,0.28915197
SRR897444,LIVER,0.64881295
SRR1213572,OTHER,1.0
SRR959599,BRAIN,0.99714184
SRR897296,BRAIN,1.0
DRR029105,ESOPHAGUS,0.9951493
SRR898193,BRAIN,1.0
SRR959653,BONE MARROW,0.52905077
SRR926644,OTHER,0.86200964
SRR1216015,LIVER,0.7293333
SRR387447,BONE MARROW,0.99942845
DRR014032,BONE MARROW,0.9910165
SRR898388,BRAIN,1.0
SRR897229,BRAIN,1.0
SRR1190461,BRAIN,0.87443084
ERR731484,LUNG,0.568567
SRR897987,BRAIN,1.0
SRR897453,LIVER,0.608878
ERR532599,PROSTATE,1.0
ERR649024,ESOPHAGUS,0.46615058
SRR898442,BRAIN,1.0
ERR532548,PROSTATE,1.0
SRR801430,STOMACH,0.99935657
SRR826659,PANCREAS,0.9999998
SRR1201698,LUNG,0.2829994
SRR896941,BRAIN,1.0
SRR1721289,OTHER,1.0
SRR542359,BREAST,1.0
SRR897284,BRAIN,1.0
SRR897456,LIVER,0.60458976
SRR1213742,OTHER,1.0
ERR649033,ESOPHAGUS,0.99997807
SRR1201676,LUNG,0.3097541
SRR1213720,OTHER,1.0
SRR897939,BRAIN,1.0
SRR959701,BONE MARROW,0.40786234
SRR633578,KIDNEY,0.9933139
SRR1202846,KIDNEY,0.43728366
SRR1193015,BRAIN,0.89619315
SRR897590,BRAIN,1.0
SRR959685,BONE MARROW,0.36321443
ERR1018460,BRAIN,1.0
SRR897853,LIVER,0.498442
ERR661161,BONE MARROW,0.99999887
SRR897105,BRAIN,0.6349367
SRR014493,BRAIN,1.0
SRR897796,LIVER,0.63108313
SRR898244,LIVER,0.50339
SRR1201833,KIDNEY,0.9974365
SRR897831,LIVER,0.68698233
